제주시,기타,내국인관광객,30대,여,201705,852,1163,37565779
서귀포시,소매,내국인관광객,60대이상,남,201705,1188,1394,120939250
서귀포시,기타,제주도민,60대이상,남,201705,1221,2908,194689961
서귀포시,기타,내국인관광객,30대,남,201705,1588,2083,48746836
제주시,기타,내국인관광객,20 미만,여,201705,542,584,8867000
서귀포시,기타,제주도민,20 미만,여,201705,61,93,2349530
서귀포시,쇼핑,제주도민,30대,남,201706,7564,23712,386471295
제주시,숙박,제주도민,50대,남,201706,112,151,13770750
제주시,유흥,제주도민,30대,남,201706,125,184,22553000
제주시,숙박,내국인관광객,30대,여,201706,1229,1548,149516872
제주시,식음료,내국인관광객,20 미만,여,201706,273,407,6732300
서귀포시,문화/레져,제주도민,40대,여,201706,921,1117,37473920
제주시,기타,제주도민,30대,남,201706,859,1699,149036846
서귀포시,소매,내국인관광객,20 미만,여,201706,93,113,1254700
제주시,숙박,내국인관광객,60대이상,남,201706,258,371,36860010
서귀포시,교통,제주도민,60대이상,남,201706,3397,6592,267342995
제주시,식음료,제주도민,30대,남,201707,4342,8732,232953010
서귀포시,기타,제주도민,50대,여,201707,802,1779,106186522
서귀포시,유흥,내국인관광객,40대,여,201707,69,88,7427700
제주시,유흥,내국인관광객,20대,여,201707,409,496,19138275
서귀포시,교통,제주도민,40대,여,201707,1960,3176,149075777
제주시,유흥,내국인관광객,30대,여,201707,188,209,7699900
제주시,문화/레져,내국인관광객,20대,여,201707,1762,2162,36198230
제주시,교통,제주도민,50대,여,201707,1307,2178,107378118
서귀포시,유흥,내국인관광객,60대이상,남,201707,53,71,11957800
제주시,소매,내국인관광객,60대이상,남,201707,472,613,25504789
서귀포시,식음료,내국인관광객,20대,남,201708,8022,11740,297101512
제주시,유흥,제주도민,20대,여,201708,1923,2575,104255190
제주시,식음료,내국인관광객,60대이상,여,201708,2135,3215,127423893
서귀포시,식음료,제주도민,20 미만,남,201708,244,360,5228804
제주시,교통,제주도민,60대이상,남,201708,6071,9820,494826511
서귀포시,식음료,내국인관광객,60대이상,남,201708,2737,4120,202100515
제주시,식음료,제주도민,40대,남,201708,38159,92827,2989823879
제주시,문화/레져,제주도민,50대,남,201708,1022,1370,144048280
제주시,교통,제주도민,40대,남,201708,11531,18105,965716511
제주시,문화/레져,내국인관광객,40대,남,201708,1894,2506,97335315
제주시,쇼핑,제주도민,40대,여,201709,3951,14311,341750953
서귀포시,교통,내국인관광객,50대,여,201709,545,688,30807654
서귀포시,유흥,제주도민,60대이상,남,201709,164,296,36751500
제주시,기타,제주도민,60대이상,여,201709,543,1143,75255288
제주시,쇼핑,내국인관광객,30대,남,201709,11682,22865,300769485
제주시,문화/레져,제주도민,60대이상,여,201709,121,151,11252300
제주시,기타,제주도민,30대,남,201709,826,1505,121766749
제주시,기타,제주도민,50대,남,201709,19155,39339,3072957110
서귀포시,소매,제주도민,50대,여,201709,759,1464,96160150
제주시,식음료,내국인관광객,50대,남,201709,6014,10068,347280940
서귀포시,숙박,제주도민,20대,여,201710,108,145,7128660
제주시,숙박,내국인관광객,30대,여,201710,1066,1349,138398879
제주시,숙박,제주도민,30대,남,201710,134,218,7285135
제주시,유흥,내국인관광객,40대,여,201710,61,72,3783300
제주시,식음료,내국인관광객,60대이상,남,201710,3549,5329,234420326
제주시,기타,내국인관광객,30대,남,201710,9533,14282,819524666
서귀포시,문화/레져,제주도민,20 미만,여,201710,105,137,1642600
제주시,유흥,내국인관광객,20대,여,201710,189,202,5463800
서귀포시,교통,제주도민,30대,여,201710,721,1109,51218830
제주시,문화/레져,제주도민,20 미만,남,201710,581,1289,14553860
제주시,기타,내국인관광객,40대,여,201711,5585,9072,552949030
제주시,식음료,내국인관광객,30대,여,201711,16517,23796,589674276
제주시,기타,내국인관광객,60대이상,남,201711,350,607,28520609
서귀포시,숙박,내국인관광객,50대,남,201711,595,787,84208354
서귀포시,쇼핑,내국인관광객,40대,남,201711,7823,16824,324752270
서귀포시,소매,내국인관광객,20대,여,201711,1489,1792,47292190
제주시,교통,내국인관광객,40대,여,201711,1795,2197,96196826
서귀포시,교통,내국인관광객,50대,여,201711,558,714,33476285
서귀포시,기타,제주도민,20대,남,201711,264,446,18167740
서귀포시,식음료,제주도민,20 미만,여,201711,87,180,2643750
제주시,식음료,내국인관광객,50대,남,201712,16209,25184,1020605193
제주시,소매,제주도민,30대,남,201712,5531,7895,623319886
제주시,식음료,제주도민,30대,남,201712,30276,69804,1946757541
제주시,유흥,내국인관광객,50대,여,201712,223,279,34474200
제주시,문화/레져,제주도민,40대,남,201712,5106,7202,283590842
제주시,숙박,내국인관광객,20 미만,여,201712,2,3,144200
제주시,문화/레져,내국인관광객,60대이상,여,201712,164,255,9304531
제주시,식음료,내국인관광객,30대,남,201712,20628,30284,841226501
서귀포시,유흥,내국인관광객,30대,남,201712,261,362,26872600
제주시,문화/레져,내국인관광객,20 미만,남,201712,8,10,49600
제주시,유흥,제주도민,60대이상,여,201801,20,41,5530700
제주시,유흥,제주도민,60대이상,남,201801,119,219,33737800
제주시,유흥,제주도민,50대,여,201801,47,57,6033500
제주시,유흥,제주도민,50대,남,201801,255,497,91238983
제주시,유흥,제주도민,40대,여,201801,78,95,7744450
제주시,유흥,제주도민,40대,남,201801,251,412,70580225
제주시,유흥,제주도민,30대,여,201801,48,67,7603625
제주시,유흥,제주도민,30대,남,201801,130,202,28829950
제주시,유흥,제주도민,20대미만,남,201801,2,2,219000
제주시,유흥,제주도민,20대,여,201801,42,42,2539075
제주시,유흥,제주도민,60대이상,여,201802,15,23,3370008
제주시,유흥,제주도민,60대이상,남,201802,100,162,28466900
제주시,유흥,제주도민,50대,여,201802,42,48,5342010
제주시,유흥,제주도민,50대,남,201802,232,429,80582325
제주시,유흥,제주도민,40대,여,201802,61,79,8337575
제주시,유흥,제주도민,40대,남,201802,203,326,56315100
제주시,유흥,제주도민,30대,여,201802,43,49,5499025
제주시,유흥,제주도민,30대,남,201802,96,139,21013250
제주시,유흥,제주도민,20대미만,남,201802,6,10,513500
제주시,유흥,제주도민,20대,여,201802,47,50,3456975
제주시,유흥,제주도민,60대이상,여,201803,22,27,3737000
제주시,유흥,제주도민,60대이상,남,201803,125,200,31951788
제주시,유흥,제주도민,50대,여,201803,39,47,5094000
제주시,유흥,제주도민,50대,남,201803,241,450,79597000
제주시,유흥,제주도민,40대,여,201803,61,74,6336500
제주시,유흥,제주도민,40대,남,201803,248,390,63830800
제주시,유흥,제주도민,30대,여,201803,54,62,4140700
제주시,유흥,제주도민,30대,남,201803,120,194,25388600
제주시,유흥,제주도민,20대미만,여,201803,1,1,31000
제주시,유흥,제주도민,20대미만,남,201803,5,8,838000
제주시,유흥,제주도민,60대이상,여,201804,19,33,4835000
제주시,유흥,제주도민,60대이상,남,201804,102,156,21615500
제주시,유흥,제주도민,50대,여,201804,50,58,5955200
제주시,유흥,제주도민,50대,남,201804,244,440,75024300
제주시,유흥,제주도민,40대,여,201804,75,106,12528118
제주시,유흥,제주도민,40대,남,201804,268,400,68142800
제주시,유흥,제주도민,30대,여,201804,56,70,4505200
제주시,유흥,제주도민,30대,남,201804,151,231,33283170
제주시,유흥,제주도민,20대미만,여,201804,1,1,33000
제주시,유흥,제주도민,20대미만,남,201804,4,8,1715000
