년월,시도명,읍면동명,업종명,이용금액,총 유동인구,데이터기준일자
2018-01,제주시,용담1동,중식 음식점업,13230500,8297165.637,2020-12-15
2018-01,제주시,용담1동,전시 및 행사 대행업,70000,8297165.637,2020-12-15
2018-01,제주시,용담1동,호텔업,14673000,8297165.637,2020-12-15
2018-01,제주시,용담1동,자동차 임대업,13357200,8297165.637,2020-12-15
2018-01,제주시,용담1동,일반유흥 주점업,46500000,8297165.637,2020-12-15
2018-01,제주시,용담1동,육류 소매업,130714290,8297165.637,2020-12-15
2018-01,제주시,용담1동,욕탕업,1720500,8297165.637,2020-12-15
2018-01,제주시,용담1동,여행사업,4827500,8297165.637,2020-12-15
2018-01,제주시,용담1동,여관업,22893000,8297165.637,2020-12-15
2018-01,제주시,용담1동,스포츠 및 레크레이션 용품 임대업,7441000,8297165.637,2020-12-15
2018-01,제주시,용담1동,일식 음식점업,42098000,8297165.637,2020-12-15
2018-01,제주시,용담1동,슈퍼마켓,28428430,8297165.637,2020-12-15
2018-01,제주시,용담1동,화장품 및 방향제 소매업,2220000,8297165.637,2020-12-15
2018-01,제주시,용담2동,과실 및 채소 소매업,113371650,18246425.72,2020-12-15
2018-01,제주시,용담2동,육류 소매업,42381480,18246425.72,2020-12-15
2018-01,제주시,용담2동,욕탕업,29040214,18246425.72,2020-12-15
2018-01,제주시,용담2동,여행사업,36167694,18246425.72,2020-12-15
2018-01,제주시,용담2동,여관업,45317886,18246425.72,2020-12-15
2018-01,제주시,용담2동,스포츠 및 레크레이션 용품 임대업,7187000,18246425.72,2020-12-15
2018-01,제주시,용담2동,슈퍼마켓,294688140,18246425.72,2020-12-15
2018-01,제주시,용담2동,건강보조식품 소매업,571000,18246425.72,2020-12-15
2018-01,제주시,용담2동,수산물 소매업,111414440,18246425.72,2020-12-15
2018-01,제주시,용담2동,빵 및 과자류 소매업,60718330,18246425.72,2020-12-15
2018-01,제주시,용담2동,비알콜 음료점업,204466220,18246425.72,2020-12-15
2018-01,제주시,용담2동,면세점,8755655572,18246425.72,2020-12-15
2018-01,제주시,용담2동,기타 외국식 음식점업,6408500,18246425.72,2020-12-15
2018-01,제주시,용담2동,그외 기타 종합 소매업,16193880,18246425.72,2020-12-15
2018-01,제주시,용담2동,관광 민예품 및 선물용품 소매업,348004800,18246425.72,2020-12-15
2018-01,제주시,용담2동,서양식 음식점업,67979380,18246425.72,2020-12-15
2018-01,제주시,용담1동,수산물 소매업,14880500,8297165.637,2020-12-15
2018-01,제주시,용담1동,서양식 음식점업,7357500,8297165.637,2020-12-15
2018-01,제주시,용담1동,빵 및 과자류 소매업,10143920,8297165.637,2020-12-15
2018-01,제주시,외도동,자동차 임대업,68288046,10339083.3,2020-12-15
2018-01,제주시,외도동,일식 음식점업,41959000,10339083.3,2020-12-15
2018-01,제주시,외도동,육류 소매업,69643388,10339083.3,2020-12-15
2018-01,제주시,외도동,욕탕업,100000,10339083.3,2020-12-15
2018-01,제주시,외도동,여관업,71001700,10339083.3,2020-12-15
2018-01,제주시,외도동,스포츠 및 레크레이션 용품 임대업,4294000,10339083.3,2020-12-15
2018-01,제주시,외도동,전시 및 행사 대행업,1870000,10339083.3,2020-12-15
2018-01,제주시,외도동,슈퍼마켓,507913190,10339083.3,2020-12-15
2018-01,제주시,외도동,서양식 음식점업,69294920,10339083.3,2020-12-15
2018-01,제주시,외도동,빵 및 과자류 소매업,57378173,10339083.3,2020-12-15
2018-01,제주시,외도동,비알콜 음료점업,10305950,10339083.3,2020-12-15
2018-01,제주시,외도동,기타음식료품위주종합소매업,8955270,10339083.3,2020-12-15
2018-01,제주시,외도동,기타 주점업,13580000,10339083.3,2020-12-15
2018-01,제주시,외도동,기타 외국식 음식점업,28764000,10339083.3,2020-12-15
2018-01,제주시,외도동,수산물 소매업,15016000,10339083.3,2020-12-15
2018-01,제주시,외도동,중식 음식점업,33449000,10339083.3,2020-12-15
2018-01,제주시,외도동,차량용 가스 충전업,78554799,10339083.3,2020-12-15
2018-01,제주시,외도동,차량용 주유소 운영업,331576392,10339083.3,2020-12-15
2018-01,제주시,용담1동,비알콜 음료점업,499500,8297165.637,2020-12-15
2018-01,제주시,용담1동,버스 운송업,990000,8297165.637,2020-12-15
2018-01,제주시,용담1동,기타음식료품위주종합소매업,314300,8297165.637,2020-12-15
2018-01,제주시,용담1동,기타 주점업,52085008,8297165.637,2020-12-15
2018-01,제주시,용담1동,기타 외국식 음식점업,4042000,8297165.637,2020-12-15
2018-01,제주시,용담1동,기타 수상오락 서비스업,300000,8297165.637,2020-12-15
2018-01,제주시,용담1동,그외 기타 종합 소매업,7300000,8297165.637,2020-12-15
2018-01,제주시,용담1동,관광 민예품 및 선물용품 소매업,20000,8297165.637,2020-12-15
2018-01,제주시,용담1동,과실 및 채소 소매업,49834850,8297165.637,2020-12-15
2018-01,제주시,용담1동,건강보조식품 소매업,230000,8297165.637,2020-12-15
2018-01,제주시,외도동,화장품 및 방향제 소매업,16457769,10339083.3,2020-12-15
2018-01,제주시,외도동,호텔업,55168370,10339083.3,2020-12-15
2018-01,제주시,외도동,한식 음식점업,609203315,10339083.3,2020-12-15
2018-01,제주시,외도동,"피자, 햄버거, 샌드위치 및 유사 음식점업",52762660,10339083.3,2020-12-15
2018-01,제주시,외도동,체인화 편의점,164358930,10339083.3,2020-12-15
2018-01,제주시,외도동,과실 및 채소 소매업,19633850,10339083.3,2020-12-15
2018-01,제주시,용담2동,자동차 임대업,737817002,18246425.72,2020-12-15
2018-01,제주시,애월읍,자동차 임대업,18805540,40822918.85,2020-12-15
2018-01,제주시,애월읍,일반유흥 주점업,900000,40822918.85,2020-12-15
2018-01,제주시,삼도2동,기타 주점업,49123999,7661265.906,2020-12-15
2018-01,제주시,삼도2동,기타 외국식 음식점업,26348100,7661265.906,2020-12-15
2018-01,제주시,삼도2동,기타 대형 종합 소매업,1572811470,7661265.906,2020-12-15
2018-01,제주시,삼도2동,기타 갬블링 및 베팅업,6000000,7661265.906,2020-12-15
2018-01,제주시,삼도2동,그외 기타 종합 소매업,53830000,7661265.906,2020-12-15
2018-01,제주시,삼도2동,그외 기타 스포츠시설 운영업,333000,7661265.906,2020-12-15
2018-01,제주시,삼도2동,기타음식료품위주종합소매업,130500,7661265.906,2020-12-15
2018-01,제주시,삼도2동,관광 민예품 및 선물용품 소매업,6109100,7661265.906,2020-12-15
2018-01,제주시,삼도2동,건강보조식품 소매업,106000,7661265.906,2020-12-15
2018-01,제주시,삼도1동,화장품 및 방향제 소매업,18378250,11922468.38,2020-12-15
2018-01,제주시,삼도1동,호텔업,81268732,11922468.38,2020-12-15
2018-01,제주시,삼도1동,한식 음식점업,359860181,11922468.38,2020-12-15
2018-01,제주시,삼도1동,"피자, 햄버거, 샌드위치 및 유사 음식점업",7006000,11922468.38,2020-12-15
2018-01,제주시,삼도1동,체인화 편의점,106263650,11922468.38,2020-12-15
2018-01,제주시,삼도2동,과실 및 채소 소매업,3009000,7661265.906,2020-12-15
2018-01,제주시,삼도1동,차량용 주유소 운영업,64428393,11922468.38,2020-12-15
2018-01,제주시,삼도2동,비알콜 음료점업,544500,7661265.906,2020-12-15
2018-01,제주시,삼도2동,서양식 음식점업,26978365,7661265.906,2020-12-15
2018-01,제주시,삼도2동,호텔업,483267245,7661265.906,2020-12-15
2018-01,제주시,삼도2동,한식 음식점업,647203514,7661265.906,2020-12-15
2018-01,제주시,삼도2동,"피자, 햄버거, 샌드위치 및 유사 음식점업",8064350,7661265.906,2020-12-15
2018-01,제주시,삼도2동,체인화 편의점,160575610,7661265.906,2020-12-15
2018-01,제주시,삼도2동,중식 음식점업,30774000,7661265.906,2020-12-15
2018-01,제주시,삼도2동,일식 음식점업,6610000,7661265.906,2020-12-15
2018-01,제주시,삼도2동,빵 및 과자류 소매업,17468340,7661265.906,2020-12-15
2018-01,제주시,삼도2동,일반유흥 주점업,59714000,7661265.906,2020-12-15
2018-01,제주시,삼도2동,욕탕업,5822500,7661265.906,2020-12-15
2018-01,제주시,삼도2동,여행사업,6431480,7661265.906,2020-12-15
2018-01,제주시,삼도2동,여관업,34281753,7661265.906,2020-12-15
2018-01,제주시,삼도2동,스포츠 및 레크레이션 용품 임대업,28291600,7661265.906,2020-12-15
2018-01,제주시,삼도2동,슈퍼마켓,48310790,7661265.906,2020-12-15
2018-01,제주시,삼도2동,수산물 소매업,12465000,7661265.906,2020-12-15
2018-01,제주시,삼도2동,육류 소매업,21717660,7661265.906,2020-12-15
2018-01,제주시,삼도1동,중식 음식점업,21638500,11922468.38,2020-12-15
2018-01,제주시,삼도1동,전시 및 행사 대행업,360000,11922468.38,2020-12-15
2018-01,제주시,삼도1동,자동차 임대업,856000,11922468.38,2020-12-15
2018-01,제주시,삼도1동,건강보조식품 소매업,13590670,11922468.38,2020-12-15
2018-01,제주시,봉개동,휴양콘도 운영업,278187400,5530947.296,2020-12-15
2018-01,제주시,봉개동,한식 음식점업,100545900,5530947.296,2020-12-15
2018-01,제주시,봉개동,"피자, 햄버거, 샌드위치 및 유사 음식점업",1195900,5530947.296,2020-12-15
2018-01,제주시,봉개동,체인화 편의점,82917590,5530947.296,2020-12-15
2018-01,제주시,봉개동,차량용 주유소 운영업,405867726,5530947.296,2020-12-15
2018-01,제주시,삼도1동,과실 및 채소 소매업,45575800,11922468.38,2020-12-15
2018-01,제주시,봉개동,차량용 가스 충전업,4961790,5530947.296,2020-12-15
2018-01,제주시,봉개동,육류 소매업,37463600,5530947.296,2020-12-15
2018-01,제주시,봉개동,여행사업,2530000,5530947.296,2020-12-15
2018-01,제주시,봉개동,여관업,2982870,5530947.296,2020-12-15
2018-01,제주시,봉개동,스포츠 및 레크레이션 용품 임대업,832000,5530947.296,2020-12-15
2018-01,제주시,봉개동,슈퍼마켓,112071650,5530947.296,2020-12-15
2018-01,제주시,봉개동,서양식 음식점업,6122000,5530947.296,2020-12-15
2018-01,제주시,봉개동,중식 음식점업,8348000,5530947.296,2020-12-15
2018-01,제주시,삼도1동,관광 민예품 및 선물용품 소매업,11415000,11922468.38,2020-12-15
2018-01,제주시,삼도1동,그외 기타 종합 소매업,33200000,11922468.38,2020-12-15
2018-01,제주시,삼도1동,기타 외국식 음식점업,5021000,11922468.38,2020-12-15
2018-01,제주시,삼도1동,일식 음식점업,39741500,11922468.38,2020-12-15
2018-01,제주시,삼도1동,일반유흥 주점업,138897000,11922468.38,2020-12-15
2018-01,제주시,삼도1동,육류 소매업,77415470,11922468.38,2020-12-15
2018-01,제주시,삼도1동,욕탕업,20884100,11922468.38,2020-12-15
2018-01,제주시,삼도1동,여행사업,8832482,11922468.38,2020-12-15
2018-01,제주시,삼도1동,여관업,48118300,11922468.38,2020-12-15
2018-01,제주시,삼도1동,스포츠 및 레크레이션 용품 임대업,56557460,11922468.38,2020-12-15
2018-01,제주시,삼도1동,슈퍼마켓,578054910,11922468.38,2020-12-15
2018-01,제주시,삼도1동,수산물 소매업,9248000,11922468.38,2020-12-15
2018-01,제주시,삼도1동,서양식 음식점업,14161380,11922468.38,2020-12-15
2018-01,제주시,삼도1동,빵 및 과자류 소매업,29234690,11922468.38,2020-12-15
2018-01,제주시,삼도1동,비알콜 음료점업,2217100,11922468.38,2020-12-15
2018-01,제주시,삼도1동,마사지업,116000,11922468.38,2020-12-15
2018-01,제주시,삼도1동,기타음식료품위주종합소매업,1892000,11922468.38,2020-12-15
2018-01,제주시,삼도1동,기타 주점업,127530000,11922468.38,2020-12-15
2018-01,제주시,삼도2동,화장품 및 방향제 소매업,15466400,7661265.906,2020-12-15
2018-01,제주시,애월읍,일식 음식점업,80746400,40822918.85,2020-12-15
2018-01,제주시,삼양동,건강보조식품 소매업,690000,18073463.18,2020-12-15
2018-01,제주시,삼양동,그외 기타 종합 소매업,200000,18073463.18,2020-12-15
2018-01,제주시,아라동,화장품 및 방향제 소매업,68995150,34700908.53,2020-12-15
2018-01,제주시,아라동,한식 음식점업,1417456721,34700908.53,2020-12-15
2018-01,제주시,아라동,"피자, 햄버거, 샌드위치 및 유사 음식점업",88926365,34700908.53,2020-12-15
2018-01,제주시,아라동,체인화 편의점,433423427,34700908.53,2020-12-15
