201905,해녀 박물관,유료,1958
201906,제주도립 김창열미술관,유료,6
201906,제주돌문화공원,유료,599
201906,산방산,유료,0
201906,천지연폭포,유료,0
201906,민속자연사박물관,유료,7031
201906,삼양선사유적지,무료,80
201906,항몽 유적지,무료,621
201906,감귤박물관,유료,0
201906,기당미술관,유료,0
201906,서복전시관,유료,0
