날짜,관광지명,관광객수
2009.05,민속자연사박물관,9086
2009.05,비자림,56
2009.05,산굼부리,2708
2009.05,삼성혈,8227
2009.05,삼양선사유적지,6
2009.05,생각하는 정원,1483
2009.05,절물자연휴양림,213
2009.05,제주도립 김창열미술관,0
2009.05,제주돌문화공원,87
2009.05,제주러브랜드,9968
2009.05,제주목관아지,546
2009.05,제주별빛누리공원,0
2009.05,제주항일기념관,18
2009.05,한라산국립공원,0
2009.05,한림공원,1640
2009.05,항몽 유적지,45
2009.05,해녀 박물관,1727
2009.05,감귤박물관,61
2009.05,기당미술관,5
2009.05,마라해양도립공원,0
2009.05,박물관은살아있다,0
2009.05,산방산,3302
2009.05,서귀포도립해양공원,0
2009.05,서귀포자연휴양림,0
2009.05,서복전시관,0
2009.05,성산일출봉,26348
2009.05,소리섬박물관,0
2009.05,소인국테마파크,0
2009.05,신영영화박물관,0
2009.05,아프리카박물관,0
2009.05,여미지식물원,0
2009.05,이중섭미술관,88
2009.05,익스트림 아일랜드,0
2009.05,일출랜드,716
2009.05,정방폭포,7828
2009.05,제주민속촌박물관,4936
2009.05,제주조각공원,135
2009.05,제주추사관,0
2009.05,중문주상절리대,6879
2009.05,천제연폭포,11640
2009.05,천지연폭포,12806
2009.05,카멜리아힐,0
2009.05,테디베어뮤지엄,10703
2009.05,퍼시픽랜드,0
2009.05,아쿠아플라넷,0
2009.05,화락원,0
2009.06,(주)제주미니미니랜드,521
2009.06,국립제주박물관,15
2009.06,도립미술관,0
2009.06,만장굴관광지,9156
2009.06,목석원,758
2009.06,민속자연사박물관,6364
2009.06,비자림,29
2009.06,산굼부리,2703
2009.06,삼성혈,5166
2009.06,삼양선사유적지,5
2009.06,생각하는 정원,3087
2009.06,절물자연휴양림,95
2009.06,제주도립 김창열미술관,0
2009.06,제주돌문화공원,492
2009.06,제주러브랜드,6471
2009.06,제주목관아지,304
2009.06,제주별빛누리공원,0
2009.06,제주항일기념관,23
2009.06,한라산국립공원,0
2009.06,한림공원,844
2009.06,항몽 유적지,18
2009.06,해녀 박물관,1605
2009.06,감귤박물관,24
2009.06,기당미술관,2
2009.06,마라해양도립공원,0
2009.06,박물관은살아있다,0
2009.06,산방산,2609
2009.06,서귀포도립해양공원,0
2009.06,서귀포자연휴양림,0
2009.06,서복전시관,0
2009.06,성산일출봉,28867
2009.06,소리섬박물관,0
2009.06,소인국테마파크,0
2009.06,신영영화박물관,0
2009.06,아프리카박물관,0
2009.06,여미지식물원,0
2009.06,이중섭미술관,48
2009.06,익스트림 아일랜드,0
2009.06,일출랜드,608
2009.06,정방폭포,4290
2009.06,제주민속촌박물관,3437
2009.06,제주조각공원,85
2009.06,제주추사관,0
2009.06,중문주상절리대,4583
2009.06,천제연폭포,10701
2009.06,천지연폭포,9236
2009.06,카멜리아힐,0
2009.06,테디베어뮤지엄,7415
2009.06,퍼시픽랜드,0
2009.06,아쿠아플라넷,0
2009.06,화락원,0
2009.07,(주)제주미니미니랜드,519
2009.07,국립제주박물관,234
2009.07,도립미술관,0
2009.07,만장굴관광지,11028
2009.07,목석원,0
2009.07,민속자연사박물관,8442
2009.07,비자림,23
2009.07,산굼부리,3686
2009.07,삼성혈,7065
2009.07,삼양선사유적지,14
2009.07,생각하는 정원,2971
2009.07,절물자연휴양림,157
2009.07,제주도립 김창열미술관,0
2009.07,제주돌문화공원,95
